query_1_time.out,query_2_time.out,query_4_time.out,query_5_time.out,query_6_time.out,query_7_time.out,query_8_time.out,query_9_time.out,query_10_time.out,query_11_time.out
30794,6492,1342,8010,2833,107,14324,15676,60439,14151
17037,3935,1270,111,2093,87,739,15880,15557,15602
17262,3989,1260,111,2103,84,722,15744,15791,15885
17149,3953,1267,112,2075,84,721,15754,15756,15685
17160,3994,1296,112,2101,83,715,16059,15821,15807
17490,3963,1249,110,2107,86,744,15913,16031,16103
17475,4060,1258,115,2136,85,739,16137,16133,16088
17491,4051,1261,111,2106,85,743,16074,16136,16127
17537,4067,1269,113,2138,89,733,16135,16154,16180
17441,4018,1280,112,2129,85,735,16075,16089,16092
